date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2010-01-04,2.61231723,2.63755701,2.57445756,2.57445756,113984517,705783462.0,1.266495,-1.1309,15.136713,2.680282,5.374565,-63.131332
2010-01-05,2.58707745,2.63335038,2.55763104,2.61231723,123022190,761187887.0,1.366913,1.4706,15.359312,2.719698,5.453603,-64.059734
2010-01-06,2.6081106,2.62073049,2.5660443,2.57025093,106038344,654623387.0,1.178204,-1.6103,15.11198,2.675903,5.365783,-63.028176
2010-01-07,2.57025093,2.58707745,2.52818463,2.53239126,121298359,736255989.0,1.34776,-1.473,14.889381,2.636487,5.286746,-62.099774
2010-01-08,2.52818463,2.55763104,2.51977137,2.54080452,56480155,340188391.0,0.627557,0.3322,14.938848,2.645246,5.30431,-62.306086
2010-01-11,2.78899569,2.78899569,2.55763104,2.58287082,235177834,1475780887.0,2.613087,1.6556,15.186179,2.689041,5.392129,-63.337643
2010-01-12,2.5660443,2.59969734,2.51977137,2.59549071,161101198,979282765.0,1.790013,0.4886,15.260379,2.70218,5.418475,-63.647111
2010-01-13,2.523978,2.55342441,2.46087855,2.46508518,200445918,1193187793.0,2.227177,-5.0243,14.49365,2.566414,5.146234,-60.449282
2010-01-14,2.4819117,2.49873822,2.46087855,2.47770507,111305827,655157343.0,1.236731,0.5119,14.56785,2.579553,5.17258,-60.758749
2010-01-15,2.4819117,2.48611833,2.4398454,2.47349844,98374358,577423374.0,1.093048,-0.1698,14.543116,2.575173,5.163798,-60.655593
2010-01-18,2.46508518,2.49032496,2.45667192,2.4819117,93812438,551056359.0,1.04236,0.3401,14.592583,2.583932,5.181362,-60.861905
2010-01-19,2.48611833,2.50294485,2.46929181,2.4819117,93887543,554938531.0,1.043195,0.0,14.592583,2.583932,5.181362,-60.861905
2010-01-20,2.49032496,2.49873822,2.40619236,2.42301888,118267395,688663695.0,1.314082,-2.3729,14.246318,2.522619,5.058414,-59.417724
2010-01-21,2.44825866,2.49032496,2.43143214,2.47770507,104983310,614416433.0,1.166481,2.2569,14.56785,2.579553,5.17258,-60.758749
2010-01-22,2.45667192,2.5660443,2.43563877,2.53239126,251817012,1496241591.0,2.797967,2.2071,14.889381,2.636487,5.286746,-62.099774
2010-01-25,2.49873822,2.54921778,2.4819117,2.48611833,116478286,695059359.0,1.294203,-1.8272,14.617316,2.588312,5.190144,-60.965061
2010-01-26,2.4819117,2.51135811,2.43563877,2.45667192,90452095,529224642.0,1.005023,-1.1844,14.444184,2.557655,5.12867,-60.24297
2010-01-27,2.45667192,2.46508518,2.37253932,2.38095258,149782373,854976767.0,1.664249,-3.0822,13.998986,2.478823,4.970595,-58.386166
2010-01-28,2.38095258,2.39357247,2.35150617,2.36833269,83074293,468001658.0,0.923048,-0.53,13.924787,2.465685,4.944249,-58.076699
2010-01-29,2.3557128,2.38515921,2.33467965,2.37674595,83062214,467578127.0,0.922913,0.3552,13.974253,2.474444,4.961813,-58.283011
2010-02-01,2.36412606,2.36833269,2.30523324,2.35150617,113744191,629670457.0,1.263824,-1.0619,13.825854,2.448166,4.909121,-57.664076
2010-02-02,2.35150617,2.3977791,2.34309291,2.3557128,85837501,483704966.0,0.95375,0.1789,13.850587,2.452546,4.917903,-57.767232
2010-02-03,2.35991943,2.42722551,2.33467965,2.41039899,103953556,591666175.0,1.15504,2.3214,14.172119,2.50948,5.032068,-59.108257
2010-02-04,2.39357247,2.3977791,2.37253932,2.38515921,51065951,289532679.0,0.567399,-1.0471,14.023719,2.483203,4.979377,-58.489322
2010-02-05,2.3557128,2.35991943,2.32626639,2.33467965,76597723,426577284.0,0.851086,-2.1164,13.726921,2.430648,4.873993,-57.251453
2010-02-08,2.33467965,2.34729954,2.33047302,2.33467965,28063365,156002945.0,0.311815,0.0,13.726921,2.430648,4.873993,-57.251453
2010-02-09,2.33467965,2.35991943,2.3136465,2.33467965,51600505,286176216.0,0.573339,0.0,13.726921,2.430648,4.873993,-57.251453
2010-02-10,2.34309291,2.3557128,2.33467965,2.34729954,30471276,169725663.0,0.33857,0.5405,13.801121,2.443787,4.900339,-57.56092
2010-02-11,2.35150617,2.36412606,2.33888628,2.35991943,30687845,171751777.0,0.340976,0.5376,13.87532,2.456925,4.926685,-57.870388
2010-02-12,2.36833269,2.3977791,2.35991943,2.39357247,44002499,248862518.0,0.488917,1.426,14.073186,2.491962,4.996941,-58.695634
2010-02-22,2.38936584,2.39357247,2.36833269,2.37253932,34109683,192945833.0,0.378996,-0.8787,13.94952,2.470064,4.953031,-58.179855
2010-02-23,2.37253932,2.37253932,2.33047302,2.34309291,42499157,236874281.0,0.472213,-1.2411,13.776388,2.439407,4.891557,-57.457765
2010-02-24,2.33467965,2.35991943,2.32626639,2.35991943,32244143,179829865.0,0.358268,0.7181,13.87532,2.456925,4.926685,-57.870388
2010-02-25,2.36412606,2.40198573,2.35991943,2.38936584,68429186,388300710.0,0.760324,1.2478,14.048453,2.487582,4.988159,-58.592478
2010-02-26,2.38515921,2.38936584,2.36412606,2.36833269,65434240,369427483.0,0.727047,-0.8803,13.924787,2.465685,4.944249,-58.076699
2010-03-01,2.37253932,2.40198573,2.37253932,2.3977791,53709684,305261712.0,0.596774,1.2433,14.097919,2.496341,5.005723,-58.79879
2010-03-02,2.3977791,2.41460562,2.38515921,2.39357247,35708074,203386006.0,0.396756,-0.1754,14.073186,2.491962,4.996941,-58.695634
2010-03-03,2.39357247,2.3977791,2.37674595,2.39357247,39120163,221917480.0,0.434668,0.0,14.073186,2.491962,4.996941,-58.695634
2010-03-04,2.39357247,2.39357247,2.34729954,2.35150617,56923811,320253442.0,0.632487,-1.7575,13.825854,2.448166,4.909121,-57.664076
2010-03-05,2.3557128,2.37253932,2.34729954,2.36412606,29973886,168078354.0,0.333043,0.5367,13.900053,2.461305,4.935467,-57.973543
2010-03-08,2.36412606,2.36833269,2.34309291,2.35991943,39947250,223802024.0,0.443858,-0.1779,13.87532,2.456925,4.926685,-57.870388
2010-03-09,2.3557128,2.3977791,2.33888628,2.38095258,69368120,391376984.0,0.770757,0.8913,13.998986,2.478823,4.970595,-58.386166
2010-03-10,2.37253932,2.3977791,2.35991943,2.36833269,34881841,197212480.0,0.387576,-0.53,13.924787,2.465685,4.944249,-58.076699
2010-03-11,2.36833269,2.39357247,2.36833269,2.38095258,48101446,272540781.0,0.534461,0.5329,13.998986,2.478823,4.970595,-58.386166
2010-03-12,2.37253932,2.38515921,2.35150617,2.35991943,35265039,198686199.0,0.391834,-0.8834,13.87532,2.456925,4.926685,-57.870388
2010-03-15,2.36412606,2.36412606,2.31785313,2.33047302,47029243,260539381.0,0.522547,-1.2478,13.702188,2.426269,4.865211,-57.148297
2010-03-16,2.33047302,2.33888628,2.30943987,2.33467965,37000356,204473569.0,0.411115,0.1805,13.726921,2.430648,4.873993,-57.251453
2010-03-17,2.33467965,2.36833269,2.32205976,2.35991943,58458906,325677324.0,0.649543,1.0811,13.87532,2.456925,4.926685,-57.870388
2010-03-18,2.3557128,2.37253932,2.33047302,2.33888628,67604636,378384459.0,0.751163,-0.8913,13.751654,2.435028,4.882775,-57.354609
2010-03-19,2.34309291,2.35150617,2.33047302,2.35150617,33354690,185689761.0,0.370608,0.5396,13.825854,2.448166,4.909121,-57.664076
2010-03-22,2.3557128,2.37253932,2.33888628,2.3557128,74466659,416553188.0,0.827407,0.1789,13.850587,2.452546,4.917903,-57.767232
2010-03-23,2.35991943,2.36412606,2.33047302,2.33888628,77850915,432668567.0,0.86501,-0.7143,13.751654,2.435028,4.882775,-57.354609
2010-03-24,2.34729954,2.35991943,2.33047302,2.33888628,86710096,482550444.0,0.963446,0.0,13.751654,2.435028,4.882775,-57.354609
2010-03-25,2.33467965,2.33888628,2.30523324,2.31785313,66832377,368054993.0,0.742582,-0.8993,13.627988,2.41313,4.838865,-56.83883
2010-03-26,2.31785313,2.35991943,2.30943987,2.34729954,95817549,533423542.0,1.064639,1.2704,13.801121,2.443787,4.900339,-57.56092
2010-03-29,2.36412606,2.42301888,2.35991943,2.40198573,174423752,993549349.0,1.938042,2.3297,12.499201,2.402205,4.994179,54.602041
2010-03-30,2.40619236,2.42722551,2.3977791,2.41039899,76786433,439912698.0,0.853183,0.3503,12.542981,2.410619,5.011672,54.793291
2010-03-31,2.41039899,2.41460562,2.37674595,2.38515921,62473821,354897176.0,0.694154,-1.0471,12.411641,2.385377,4.959193,54.219539
2010-04-01,2.38936584,2.41039899,2.38515921,2.40198573,63978614,364890143.0,0.710873,0.7055,12.499201,2.402205,4.994179,54.602041
2010-04-02,2.40619236,2.41460562,2.37674595,2.39357247,73369503,417145206.0,0.815217,-0.3503,12.455421,2.393791,4.976686,54.41079
2010-04-06,2.40198573,2.41881225,2.39357247,2.40198573,59186662,338691357.0,0.65763,0.3515,12.499201,2.402205,4.994179,54.602041
2010-04-07,2.3977791,2.41039899,2.38515921,2.3977791,46817036,266605796.0,0.520189,-0.1751,12.477311,2.397998,4.985432,54.506415
2010-04-08,2.3977791,2.41460562,2.37674595,2.38515921,75888202,432332203.0,0.843202,-0.5263,12.411641,2.385377,4.959193,54.219539
2010-04-09,2.38095258,2.40198573,2.37674595,2.39357247,41049567,233375296.0,0.456106,0.3527,12.455421,2.393791,4.976686,54.41079
2010-04-12,2.3977791,2.40619236,2.34309291,2.3557128,96095883,540204872.0,1.067732,-1.5817,12.25841,2.355928,4.897969,53.550162
2010-04-13,2.3557128,2.39357247,2.3557128,2.38515921,108687872,612894313.0,1.207643,1.25,12.411641,2.385377,4.959193,54.219539
2010-04-14,2.38515921,2.39357247,2.3557128,2.36833269,67860336,382332822.0,0.754004,-0.7055,12.324081,2.368549,4.924208,53.837038
2010-04-15,2.37253932,2.38515921,2.3557128,2.35991943,83566122,470053007.0,0.928512,-0.3552,12.280301,2.360135,4.906715,53.645788
2010-04-16,2.36412606,2.36833269,2.33047302,2.33467965,78881844,438791649.0,0.876465,-1.0695,12.14896,2.334893,4.854237,53.072036
2010-04-19,2.30943987,2.31785313,2.2295139,2.24213379,156715978,846055382.0,1.741289,-3.964,11.66738,2.242338,4.661817,50.96828
2010-04-20,2.24634042,2.25896031,2.21268738,2.23372053,81233954,430740762.0,0.902599,-0.3752,11.6236,2.233924,4.644324,50.777029
2010-04-21,2.23792716,2.25475368,2.21689401,2.25054705,56190947,298480654.0,0.624344,0.7533,11.71116,2.250752,4.679309,51.15953
2010-04-22,2.23792716,2.23792716,2.16641445,2.18324097,169564535,880722850.0,1.88405,-2.9907,11.36092,2.18344,4.539367,49.629526
2010-04-23,2.17903434,2.19586086,2.15379456,2.17482771,74177145,383384926.0,0.824191,-0.3854,11.31714,2.175026,4.521875,49.438275
2010-04-26,2.17903434,2.1874476,2.15379456,2.16220782,51551564,265574861.0,0.572795,-0.5803,11.25147,2.162405,4.495636,49.151399
2010-04-27,2.15379456,2.15800119,2.12434815,2.1453813,84194866,428402110.0,0.935499,-0.7782,11.16391,2.145577,4.46065,48.768898
2010-04-28,2.13276141,2.16220782,2.12434815,2.15800119,49484102,252365934.0,0.549823,0.5882,11.22958,2.158198,4.486889,49.055774
2010-04-29,2.16641445,2.20848075,2.16220782,2.1874476,77581218,403413010.0,0.862014,1.3645,11.38281,2.187647,4.548114,49.725151
2010-04-30,2.19586086,2.21689401,2.17482771,2.20848075,73014256,380756637.0,0.81127,0.9615,10.60717,2.072065,4.429093,-30.43959
2010-05-04,2.17903434,2.19586086,2.16641445,2.19165423,45687384,237164738.0,0.507638,-0.7619,10.526353,2.056278,4.395348,-30.20767
