date,open,high,low,close,preclose,volume,amount,pctChg
2010-01-04,3289.75,3295.279,3243.319,3243.76,3277.139,10944792700,133773495628.0,-1.018538
2010-01-05,3254.468,3290.512,3221.462,3282.179,3243.76,12611506600,161858172981.0,1.184395
2010-01-06,3277.517,3295.868,3253.044,3254.215,3282.179,12365138400,158040114734.0,-0.851991
2010-01-07,3253.991,3268.819,3176.707,3192.776,3254.215,12865282700,157229581955.0,-1.887988
2010-01-08,3177.259,3198.92,3149.017,3195.997,3192.776,9837714700,121739882073.0,0.10089
2010-01-11,3301.611,3306.751,3197.328,3212.75,3195.997,13632721600,177557637092.0,0.524185
2010-01-12,3205.705,3275.202,3180.085,3273.966,3212.75,14065524100,173949587793.0,1.90541
2010-01-13,3204.976,3232.818,3165.485,3172.658,3273.966,15834427800,197329891936.0,-3.094354
2010-01-14,3183.381,3219.016,3165.596,3215.55,3172.658,13595450400,168004201473.0,1.351929
2010-01-15,3217.19,3241.815,3197.221,3224.152,3215.55,12054113500,151441932665.0,0.267514
2010-01-18,3213.637,3238.242,3202.207,3237.098,3224.152,13506723800,169760710359.0,0.401526
2010-01-19,3242.216,3268.806,3236.839,3246.874,3237.098,12994353200,162672571503.0,0.302003
2010-01-20,3252.037,3255.128,3148.334,3151.85,3246.874,15824311200,192661666820.0,-2.926628
2010-01-21,3154.189,3176.147,3126.902,3158.863,3151.85,11433707900,142103163041.0,0.222502
2010-01-22,3118.724,3147.829,3062.629,3128.588,3158.863,13775853800,163570680340.0,-0.958419
2010-01-25,3103.32,3136.999,3092.926,3094.411,3128.588,7836186200,95145982251.0,-1.09241
2010-01-26,3094.848,3107.198,3001.956,3019.394,3094.411,9350709200,109256964463.0,-2.424269
2010-01-27,3020.54,3028.647,2972.627,2986.607,3019.394,7655221400,90324580784.0,-1.085884
2010-01-28,2985.214,3006.039,2963.891,2994.143,2986.607,7336576700,85654271669.0,0.252331
2010-01-29,2979.743,3024.848,2968.453,2989.292,2994.143,8047587500,95656890364.0,-0.162019
2010-02-01,2981.374,2981.374,2912.887,2941.36,2989.292,8814711400,103760395661.0,-1.603453
2010-02-02,2955.753,2990.748,2930.559,2934.713,2941.36,8248578900,97685864724.0,-0.225991
2010-02-03,2945.034,3005.131,2890.021,3003.835,2934.713,10102253700,119046397344.0,2.355326
2010-02-04,2983.05,3015.126,2968.68,2995.308,3003.835,9991836400,114601290076.0,-0.283866
2010-02-05,2936.197,2959.233,2918.909,2939.402,2995.308,9727498900,110882284806.0,-1.866453
2010-02-08,2936.452,2954.266,2922.187,2935.174,2939.402,6329958200,73159983990.0,-0.14384
2010-02-09,2932.09,2957.474,2929.21,2948.842,2935.174,6228220700,68112416248.0,0.465661
2010-02-10,2967.138,2983.179,2958.217,2982.5,2948.842,5558800500,67017903260.0,1.141396
2010-02-11,2985.082,3001.636,2976.079,2985.499,2982.5,5664630500,64892509383.0,0.100554
2010-02-12,2996.088,3018.858,2993.437,3018.133,2985.499,5609212400,66931569830.0,1.093085
2010-02-22,3016.703,3026.659,3002.811,3003.398,3018.133,6850514300,78744835872.0,-0.488219
2010-02-23,2998.907,2998.907,2938.753,2982.575,3003.398,8039285800,98223524244.0,-0.693315
2010-02-24,2964.984,3023.739,2955.069,3022.177,2982.575,9291896200,105568658353.0,1.32778
2010-02-25,3026.656,3063.004,3022.373,3060.618,3022.177,11967078100,138961506698.0,1.271961
2010-02-26,3053.498,3067.525,3041.689,3051.943,3060.618,10129629100,121468972402.0,-0.283433
2010-03-01,3057.006,3093.095,3054.554,3087.842,3051.943,11103887800,131301895669.0,1.176265
2010-03-02,3089.706,3095.992,3060.956,3073.108,3087.842,10532764700,124558675160.0,-0.477166
2010-03-03,3074.099,3098.456,3061.467,3097.005,3073.108,11715651900,136522058159.0,0.777616
2010-03-04,3098.069,3102.398,3016.215,3023.373,3097.005,12638388900,144939960281.0,-2.377517
2010-03-05,3026.639,3044.165,3011.088,3031.065,3023.373,9225966500,105764004554.0,0.254414
2010-03-08,3036.415,3058.832,3030.905,3053.232,3031.065,8101195000,92751540604.0,0.731327
2010-03-09,3053.26,3084.85,3028.69,3069.141,3053.232,9238180300,107489645813.0,0.52106
2010-03-10,3067.15,3085.994,3034.739,3048.927,3069.141,8461295300,98739579382.0,-0.658624
2010-03-11,3050.644,3070.935,3025.309,3051.282,3048.927,7987219500,96185690103.0,0.07724
2010-03-12,3051.474,3057.519,3011.972,3013.412,3051.282,7141891200,84352943940.0,-1.241114
2010-03-15,3010.722,3013.517,2963.494,2976.939,3013.412,6374976800,74779819309.0,-1.21036
2010-03-16,2974.487,2993.843,2963.438,2992.841,2976.939,5962799100,69931647605.0,0.534176
2010-03-17,2999.815,3050.757,2994.893,3050.479,2992.841,8708569900,105010317230.0,1.92586
2010-03-18,3053.158,3063.586,3035.019,3046.089,3050.479,9137912400,108541262605.0,-0.143908
2010-03-19,3046.749,3069.662,3031.023,3067.75,3046.089,8848118900,103212258494.0,0.711105
2010-03-22,3069.66,3083.345,3061.759,3074.576,3067.75,9649941100,113438657970.0,0.222506
2010-03-23,3076.957,3082.965,3051.211,3053.125,3074.576,9286719000,108718260881.0,-0.697687
2010-03-24,3058.928,3076.749,3052.213,3056.808,3053.125,8926636500,103520051662.0,0.120634
2010-03-25,3051.356,3051.356,3012.308,3019.176,3056.808,9019054200,105285006838.0,-1.231091
2010-03-26,3017.215,3067.707,3009.905,3059.715,3019.176,9307771600,108957224524.0,1.342719
2010-03-29,3076.048,3130.279,3071.69,3123.798,3059.715,13189511400,155187158143.0,2.094411
2010-03-30,3123.832,3132.576,3113.767,3128.468,3123.798,10243151500,125184598681.0,0.149495
2010-03-31,3129.574,3130.112,3101.756,3109.105,3128.468,10114335100,122804448412.0,-0.61893
2010-04-01,3111.935,3148.344,3111.935,3147.416,3109.105,12677921300,154014263543.0,1.232221
2010-04-02,3154.77,3159.598,3141.866,3157.957,3147.416,12278938300,150050854794.0,0.33491
2010-04-06,3170.612,3177.968,3141.93,3158.681,3157.957,11681470300,144082622105.0,0.022922
2010-04-07,3156.314,3161.081,3132.236,3148.222,3158.681,10352157000,126771627758.0,-0.331119
2010-04-08,3143.451,3143.827,3110.256,3118.709,3148.222,11464338900,142179596674.0,-0.937448
2010-04-09,3118.926,3146.459,3114.788,3145.347,3118.709,10542596000,134094153790.0,0.854133
2010-04-12,3151.888,3156.211,3111.899,3129.263,3145.347,13796270100,175003844825.0,-0.511358
2010-04-13,3129.692,3173.634,3101.483,3161.251,3129.263,14398204000,184689462067.0,1.022223
2010-04-14,3161.551,3167.658,3145.555,3166.183,3161.251,10643584700,137919385516.0,0.156018
2010-04-15,3168.139,3181.663,3135.99,3164.966,3166.183,10626390800,136812954006.0,-0.038439
2010-04-16,3159.672,3159.672,3121.366,3130.302,3164.966,8093491800,102904446772.0,-1.095243
2010-04-19,3096.785,3096.785,2977.774,2980.297,3130.302,12936050500,156394431347.0,-4.792026
2010-04-20,2980.081,2998.913,2941.35,2979.533,2980.297,10173224900,124783817741.0,-0.02564
2010-04-21,2984.618,3034.327,2972.096,3033.278,2979.533,11630851400,146027651593.0,1.80381
2010-04-22,3021.289,3023.641,2978.457,2999.484,3033.278,12172666400,153337726572.0,-1.114115
2010-04-23,2995.568,3015.633,2966.785,2983.537,2999.484,10351871300,135881395939.0,-0.531651
2010-04-26,2988.077,2996.828,2965.832,2969.503,2983.537,8914667500,116254419538.0,-0.470387
2010-04-27,2962.145,2962.145,2866.342,2907.928,2969.503,10827127300,131158554727.0,-2.073578
2010-04-28,2883.167,2916.676,2865.469,2900.331,2907.928,8374941100,104850717861.0,-0.261249
2010-04-29,2912.196,2928.93,2867.938,2868.432,2900.331,8934443400,112206328592.0,-1.099846
2010-04-30,2867.649,2875.806,2820.949,2870.611,2868.432,8873444400,105989977970.0,0.075972
2010-05-04,2821.354,2862.555,2809.132,2835.277,2870.611,6607984400,78762912103.0,-1.230887
2010-05-05,2804.514,2857.293,2770.328,2857.151,2835.277,9534057800,114155797823.0,0.771486
